number,created_at,title,labels
48111,2026-04-14T21:00:21Z,[BUG] There is a huge memory leak in claude code,bug|platform:linux|perf:memory
48110,2026-04-14T21:00:11Z,--resume shows no sessions when cwd is a bare repo root with worktrees,bug|has repro|platform:macos|area:core
48109,2026-04-14T20:59:46Z,[Bug] Recap answer message invisible in focus mode,bug|platform:macos|area:tui
48108,2026-04-14T20:57:39Z,Add --short flag or /ctx alias for /context command,enhancement|area:cli
48107,2026-04-14T20:54:32Z,Degraded reasoning quality and compute concerns — paying user reporting session failures,bug|area:model
48106,2026-04-14T20:53:58Z,feel this got stuck and just did barely anything but burn...,bug|platform:windows|area:cost|area:tools
48105,2026-04-14T20:48:29Z,Agent Teams: adopt existing sessions into a team after the fact,enhancement|area:agents
48104,2026-04-14T20:45:01Z,[Bug] Agents get stuck and stop making progress without utilizing token budget,bug|platform:windows|area:agent
48103,2026-04-14T20:29:21Z,"[BUG] If a user types a \ in the prompt, in certain cases, it's treated as an escape character, for example ~\.folder",bug|platform:windows|area:tui
48102,2026-04-14T20:26:39Z,Claude code vscode extension is being updated too many times,enhancement|platform:windows|area:packaging|platform:vscode
48101,2026-04-14T20:25:39Z,MCP Google Drive OAuth flow redirects to claude.ai web instead of completing in CLI,bug|platform:macos|area:auth|area:mcp
48100,2026-04-14T20:24:17Z,Security: warn users in docs against auto-installing third-party plugins that write global hooks,documentation|enhancement|area:security|area:hooks
48099,2026-04-14T20:19:30Z,[FEATURE] Open a read-only side chat from a REPL text selection,enhancement|area:tui
48098,2026-04-14T20:17:23Z,"[FEATURE] Customisable welcome screen (image, title line, and startup tips)",enhancement|area:tui
48097,2026-04-14T20:16:35Z,[FEATURE] Named permission preset tiers (UAC-style trust levels),enhancement|area:permissions
48096,2026-04-14T20:08:30Z,[Bug] Claude reads from main repo path instead of git worktree when memory namespace matches main repo,bug|has repro|platform:macos|area:core|memory
48095,2026-04-14T20:08:19Z,"isolation: ""worktree"" branches from origin/HEAD instead of current HEAD",bug|area:agents
48094,2026-04-14T20:05:23Z,Feature request: metals-lsp plugin for Scala language server,duplicate|area:lsp|area:plugins
48093,2026-04-14T20:04:59Z,[BUG] Extra-usage balance on claude.ai/settings/usage does not update without page refresh,invalid
48092,2026-04-14T20:02:41Z,[DOCS] Remote Control docs omit web UI title persistence and precedence,documentation|enhancement|area:docs
48091,2026-04-14T20:01:56Z,False positive policy refusal on legitimate epidemiological research content,
48090,2026-04-14T20:01:39Z,[DOCS] Prompt caching docs omit the startup warning shown when `DISABLE_PROMPT_CACHING*` disables caching,documentation|enhancement|area:docs
