number,created_at,title,labels
48049,2026-04-14T18:19:22Z,Filter /resume history by current project directory,duplicate|area:cli
48046,2026-04-14T18:15:08Z,[Bug] Anthropic API Error: Unable to process request,bug|platform:macos
48044,2026-04-14T18:10:32Z,Add auto-resume option to VS Code extension on startup,enhancement|area:ide|platform:vscode
48040,2026-04-14T17:55:44Z,Aggregate token usage / cost across sub-agent sessions in status line,enhancement|area:cost|area:agents|area:statusline
48039,2026-04-14T17:50:52Z,[FEATURE]  Rename projects in the sidebar,enhancement|area:ide|platform:vscode
48034,2026-04-14T17:43:16Z,[Bug] /copy command fails to copy last Claude response to clipboard as of 2.1.107,bug|platform:macos|area:tui
48019,2026-04-14T17:20:15Z,[FEATURE] Create PR button should support GitLab and other Git platforms,enhancement|area:integrations
48014,2026-04-14T17:03:00Z,[Feature Request] Add Zeplin screen support,enhancement|platform:macos|area:integrations
47997,2026-04-14T16:11:38Z,Feature: Multi-session coordination — allow Claude Code sessions to communicate,enhancement|platform:macos|area:core|area:cowork
47993,2026-04-14T16:06:59Z,[FEATURE] Support SessionStart hooks in Cowork (Claude Desktop App),enhancement|area:hooks|area:cowork
47979,2026-04-14T15:35:54Z,[withdrawn],invalid
47953,2026-04-14T14:40:25Z,Feature Request: Allow renaming existing conversations,enhancement|area:cli
47938,2026-04-14T14:06:53Z,Allow skills to disable or customize @-mention autocomplete in arguments,enhancement|platform:macos|area:skills
47924,2026-04-14T13:36:32Z,[BUG] Telegram plugin: inbound MCP channel notifications (notifications/claude/channel) not displayed in session,duplicate|platform:macos|area:mcp|area:plugins
47908,2026-04-14T12:52:57Z,[FEATURE] scope /insights command per project,enhancement|area:cli
47892,2026-04-14T11:41:17Z,"[BUG] Cowork ""Virtualization is not available"" on Windows 11 Pro 25H2 — VM never initializes, %APPDATA%\Claude folder never created",bug|duplicate|platform:windows|area:cowork
47890,2026-04-14T11:36:58Z,EnterWorktree modifies tracked files during worktree creation,bug|has repro|platform:macos|area:tools
47878,2026-04-14T10:51:28Z,You've hit your limit · resets 7pm,bug|platform:macos|area:cost|area:api|api:anthropic
47873,2026-04-14T10:42:51Z,Support `color` field in agent frontmatter,enhancement|area:tui|area:agents
47872,2026-04-14T10:35:21Z,Orphaned Claude Code process enters 100% CPU busy loop when parent terminal is closed,bug|has repro|platform:macos|area:core|perf:cpu|area:desktop
47866,2026-04-14T10:11:47Z,Feature Request: Allow users to configure 5-hour session window offset (timezone disadvantage),enhancement|area:cost
47862,2026-04-14T10:06:12Z,"Add displayContext hook field for human-visible, agent-hidden output",enhancement|area:hooks
47859,2026-04-14T10:02:14Z,"PostToolUse callback hooks: return value (updatedMCPToolOutput) silently discarded, never persisted to transcript",bug|area:hooks|area:agent-sdk
47857,2026-04-14T10:00:26Z,Expose active skills and running subagents in statusline JSON data,enhancement|area:agents|area:statusline
47851,2026-04-14T09:50:48Z,[BUG] Cowork VM connection timeout on Windows 11 Home ARM64 (Claude 1.2278.0.0),duplicate|platform:windows|area:cowork
47842,2026-04-14T09:28:36Z,[Bug] Auto mode unavailability error triggered without explicit auto mode usage,
47839,2026-04-14T09:20:44Z,[BUG] OAuth input prompt fails to accept pasted text in SSH session (Ubuntu 24.04),bug|platform:linux|area:tui|area:auth
47837,2026-04-14T09:13:58Z,OAuth token expires frequently despite refresh_token present,bug|platform:linux|area:auth
47825,2026-04-14T08:47:09Z,VSCode extension /resume doesn't respect CLAUDE_CONFIG_DIR from claudeCode.environmentVariables,bug|duplicate|has repro|area:ide|platform:vscode
47824,2026-04-14T08:44:50Z,Plan execution dialog shows inconsistent options across parallel sessions,bug|has repro|platform:macos|area:tui|area:permissions
47820,2026-04-14T08:39:06Z,[BUG] /effort session command does not override effortLevel in settings.json,bug|has repro|platform:macos|area:core|area:skills
47816,2026-04-14T08:30:18Z,[DOCS] Missing 'name' field in SKILL.md example in plugins quickstart docs,bug|documentation|area:skills|area:docs|area:plugins
47807,2026-04-14T08:06:02Z,[Bug] Unexpected High Token Usage on Simple Context-Only Queries,bug|platform:macos|area:cost|platform:vscode
47788,2026-04-14T07:21:30Z,You've hit your limit · resets 7pm (Asia/Shanghai),bug|platform:macos|area:cost
47785,2026-04-14T07:12:02Z,[BUG] Opus 4.6 stuck at 200k context on Max plan — s1mAccessCache hasAccess:false persists after re-auth (v2.1.107),duplicate|platform:macos|area:auth
47778,2026-04-14T06:38:50Z,[BUG] Cannot paste the Authentication code,duplicate|platform:linux|area:tui|area:auth
47767,2026-04-14T06:00:50Z,Allow individual users to extend channels allowlist for third-party plugin marketplaces,enhancement|platform:linux|area:plugins|area:permissions
47763,2026-04-14T05:42:13Z,[BUG] API Error: Stream idle timeout - partial response received,duplicate|platform:macos|api:anthropic
47762,2026-04-14T05:41:40Z,Feature Request: Customizable companions (let us swap Gristle for a Thronglet),enhancement|area:plugins|area:ui
47758,2026-04-14T05:31:48Z,[FEATURE] Add ability to delete individual sessions from claude.ai/code web UI,enhancement|area:claude-code-web|platform:web
47741,2026-04-14T04:32:50Z,[FEATURE] Organization-managed CLAUDE.md for enforcing behavioral security policies,enhancement|area:security|area:permissions
47738,2026-04-14T04:19:01Z,[Feature Request] Add Vim visual mode support (v/V/Ctrl+V) to input editor,enhancement|platform:macos|area:tui
47722,2026-04-14T03:21:15Z,Feature request: Hide individual built-in slash commands & show effort level in status line,enhancement|area:tui|area:statusline
47701,2026-04-14T02:06:31Z,Permission walker unhandled node type `file_redirect` blocks allow-list for commands with redirects/pipes,bug|platform:windows|area:bash|area:hooks|area:permissions
47699,2026-04-14T02:02:28Z,"[BUG] Cannot paste auth code into ""Paste code here if prompted >"" during /login in Dev Container (v2.1.105)",bug|area:tui|area:auth|platform:vscode|platform:wsl
47680,2026-04-14T00:51:16Z,MCP channel plugin: intermittent 'not allowlisted' errors on tool calls despite correct access.json,bug|has repro|platform:macos|area:mcp
47672,2026-04-13T23:50:25Z,[Bug] Claude Code ignores some context files provided for analysis,bug|platform:linux|area:tools
