source,target,cosine_similarity
573,595,1.0000
573,600,1.0000
573,9400,1.0000
595,600,1.0000
595,9400,1.0000
600,9400,1.0000
2085,6751,1.0000
2085,12743,1.0000
6751,12743,1.0000
13914,16119,1.0000
13914,16247,1.0000
16119,16247,1.0000
553,580,1.0000
553,583,1.0000
553,14747,1.0000
553,15631,1.0000
580,583,1.0000
580,14747,1.0000
580,15631,1.0000
583,14747,1.0000
583,15631,1.0000
14747,15631,1.0000
597,599,1.0000
597,1942,1.0000
597,6776,1.0000
597,10094,1.0000
597,10097,1.0000
597,10098,1.0000
597,12758,1.0000
597,14729,1.0000
597,14738,1.0000
597,14739,1.0000
597,14741,1.0000
597,14744,1.0000
597,14745,1.0000
597,14746,1.0000
597,14748,1.0000
597,14749,1.0000
597,14750,1.0000
597,14751,1.0000
597,14752,1.0000
597,18524,1.0000
599,1942,1.0000
599,6776,1.0000
599,10094,1.0000
599,10097,1.0000
599,10098,1.0000
599,12758,1.0000
599,14729,1.0000
599,14738,1.0000
599,14739,1.0000
599,14741,1.0000
599,14744,1.0000
599,14745,1.0000
599,14746,1.0000
599,14748,1.0000
599,14749,1.0000
599,14750,1.0000
599,14751,1.0000
599,14752,1.0000
599,18524,1.0000
1942,6776,1.0000
1942,10094,1.0000
1942,10097,1.0000
1942,10098,1.0000
1942,12758,1.0000
1942,14729,1.0000
1942,14738,1.0000
1942,14739,1.0000
1942,14741,1.0000
1942,14744,1.0000
1942,14745,1.0000
1942,14746,1.0000
1942,14748,1.0000
1942,14749,1.0000
1942,14750,1.0000
1942,14751,1.0000
1942,14752,1.0000
1942,18524,1.0000
6776,10094,1.0000
6776,10097,1.0000
6776,10098,1.0000
6776,12758,1.0000
6776,14729,1.0000
6776,14738,1.0000
6776,14739,1.0000
6776,14741,1.0000
6776,14744,1.0000
6776,14745,1.0000
6776,14746,1.0000
6776,14748,1.0000
6776,14749,1.0000
6776,14750,1.0000
6776,14751,1.0000
6776,14752,1.0000
6776,18524,1.0000
7565,7568,1.0000
10094,10097,1.0000
10094,10098,1.0000
10094,12758,1.0000
10094,14729,1.0000
10094,14738,1.0000
10094,14739,1.0000
10094,14741,1.0000
10094,14744,1.0000
10094,14745,1.0000
10094,14746,1.0000
10094,14748,1.0000
10094,14749,1.0000
10094,14750,1.0000
10094,14751,1.0000
10094,14752,1.0000
10094,18524,1.0000
10097,10098,1.0000
10097,12758,1.0000
10097,14729,1.0000
10097,14738,1.0000
10097,14739,1.0000
10097,14741,1.0000
10097,14744,1.0000
10097,14745,1.0000
10097,14746,1.0000
10097,14748,1.0000
10097,14749,1.0000
10097,14750,1.0000
10097,14751,1.0000
10097,14752,1.0000
10097,18524,1.0000
10098,12758,1.0000
10098,14729,1.0000
10098,14738,1.0000
10098,14739,1.0000
10098,14741,1.0000
10098,14744,1.0000
10098,14745,1.0000
10098,14746,1.0000
10098,14748,1.0000
10098,14749,1.0000
10098,14750,1.0000
10098,14751,1.0000
10098,14752,1.0000
10098,18524,1.0000
12758,14729,1.0000
12758,14738,1.0000
12758,14739,1.0000
12758,14741,1.0000
12758,14744,1.0000
12758,14745,1.0000
12758,14746,1.0000
12758,14748,1.0000
12758,14749,1.0000
12758,14750,1.0000
12758,14751,1.0000
12758,14752,1.0000
12758,18524,1.0000
14729,14738,1.0000
14729,14739,1.0000
14729,14741,1.0000
14729,14744,1.0000
14729,14745,1.0000
14729,14746,1.0000
14729,14748,1.0000
14729,14749,1.0000
14729,14750,1.0000
14729,14751,1.0000
14729,14752,1.0000
14729,18524,1.0000
14738,14739,1.0000
14738,14741,1.0000
14738,14744,1.0000
14738,14745,1.0000
14738,14746,1.0000
14738,14748,1.0000
14738,14749,1.0000
14738,14750,1.0000
14738,14751,1.0000
14738,14752,1.0000
14738,18524,1.0000
14739,14741,1.0000
14739,14744,1.0000
14739,14745,1.0000
14739,14746,1.0000
14739,14748,1.0000
14739,14749,1.0000
14739,14750,1.0000
14739,14751,1.0000
14739,14752,1.0000
14739,18524,1.0000
14741,14744,1.0000
14741,14745,1.0000
14741,14746,1.0000
14741,14748,1.0000
14741,14749,1.0000
14741,14750,1.0000
14741,14751,1.0000
14741,14752,1.0000
14741,18524,1.0000
14744,14745,1.0000
14744,14746,1.0000
14744,14748,1.0000
14744,14749,1.0000
14744,14750,1.0000
14744,14751,1.0000
14744,14752,1.0000
14744,18524,1.0000
14745,14746,1.0000
14745,14748,1.0000
14745,14749,1.0000
14745,14750,1.0000
14745,14751,1.0000
14745,14752,1.0000
14745,18524,1.0000
14746,14748,1.0000
14746,14749,1.0000
14746,14750,1.0000
14746,14751,1.0000
14746,14752,1.0000
14746,18524,1.0000
14748,14749,1.0000
14748,14750,1.0000
14748,14751,1.0000
14748,14752,1.0000
14748,18524,1.0000
14749,14750,1.0000
14749,14751,1.0000
14749,14752,1.0000
14749,18524,1.0000
14750,14751,1.0000
14750,14752,1.0000
14750,18524,1.0000
14751,14752,1.0000
14751,18524,1.0000
14752,18524,1.0000
16528,18771,1.0000
556,597,1.0000
556,599,1.0000
556,1942,1.0000
556,6776,1.0000
556,10094,1.0000
556,10097,1.0000
556,10098,1.0000
556,12758,1.0000
556,14729,1.0000
556,14738,1.0000
556,14739,1.0000
556,14741,1.0000
556,14744,1.0000
556,14745,1.0000
556,14746,1.0000
556,14748,1.0000
556,14749,1.0000
556,14750,1.0000
556,14751,1.0000
556,14752,1.0000
556,18524,1.0000
561,597,1.0000
561,599,1.0000
561,1942,1.0000
561,6776,1.0000
561,10094,1.0000
561,10097,1.0000
561,10098,1.0000
561,12758,1.0000
561,14729,1.0000
561,14738,1.0000
561,14739,1.0000
561,14741,1.0000
561,14744,1.0000
561,14745,1.0000
561,14746,1.0000
561,14748,1.0000
561,14749,1.0000
561,14750,1.0000
561,14751,1.0000
561,14752,1.0000
561,18524,1.0000
564,597,1.0000
564,599,1.0000
564,1942,1.0000
564,6776,1.0000
564,10094,1.0000
564,10097,1.0000
564,10098,1.0000
564,12758,1.0000
564,14729,1.0000
564,14738,1.0000
564,14739,1.0000
564,14741,1.0000
564,14744,1.0000
564,14745,1.0000
564,14746,1.0000
564,14748,1.0000
564,14749,1.0000
564,14750,1.0000
564,14751,1.0000
564,14752,1.0000
564,18524,1.0000
567,597,1.0000
567,599,1.0000
567,1942,1.0000
567,6776,1.0000
567,10094,1.0000
567,10097,1.0000
567,10098,1.0000
567,12758,1.0000
567,14729,1.0000
567,14738,1.0000
567,14739,1.0000
567,14741,1.0000
567,14744,1.0000
567,14745,1.0000
567,14746,1.0000
567,14748,1.0000
567,14749,1.0000
567,14750,1.0000
567,14751,1.0000
567,14752,1.0000
567,18524,1.0000
568,597,1.0000
568,599,1.0000
568,1942,1.0000
568,6776,1.0000
568,10094,1.0000
568,10097,1.0000
568,10098,1.0000
568,12758,1.0000
568,14729,1.0000
568,14738,1.0000
568,14739,1.0000
568,14741,1.0000
568,14744,1.0000
568,14745,1.0000
568,14746,1.0000
568,14748,1.0000
568,14749,1.0000
568,14750,1.0000
568,14751,1.0000
568,14752,1.0000
568,18524,1.0000
569,4684,1.0000
577,597,1.0000
577,599,1.0000
577,1942,1.0000
577,6776,1.0000
577,10094,1.0000
577,10097,1.0000
577,10098,1.0000
577,12758,1.0000
577,14729,1.0000
577,14738,1.0000
577,14739,1.0000
577,14741,1.0000
577,14744,1.0000
577,14745,1.0000
577,14746,1.0000
577,14748,1.0000
577,14749,1.0000
577,14750,1.0000
577,14751,1.0000
577,14752,1.0000
577,18524,1.0000
578,597,1.0000
578,599,1.0000
578,1942,1.0000
578,6776,1.0000
578,10094,1.0000
578,10097,1.0000
578,10098,1.0000
578,12758,1.0000
578,14729,1.0000
578,14738,1.0000
578,14739,1.0000
578,14741,1.0000
578,14744,1.0000
578,14745,1.0000
578,14746,1.0000
578,14748,1.0000
578,14749,1.0000
578,14750,1.0000
578,14751,1.0000
578,14752,1.0000
578,18524,1.0000
581,597,1.0000
581,599,1.0000
581,1942,1.0000
581,6776,1.0000
581,10094,1.0000
581,10097,1.0000
581,10098,1.0000
581,12758,1.0000
581,14729,1.0000
581,14738,1.0000
581,14739,1.0000
581,14741,1.0000
581,14744,1.0000
581,14745,1.0000
581,14746,1.0000
581,14748,1.0000
581,14749,1.0000
581,14750,1.0000
581,14751,1.0000
581,14752,1.0000
581,18524,1.0000
588,597,1.0000
588,599,1.0000
588,1942,1.0000
588,6776,1.0000
588,10094,1.0000
588,10097,1.0000
