node_id,title,community_id,community_label,degree,color
0,[BUG] There is a huge memory leak in claude code,12,memory_leak kernel_allocation api_error ,12,#2ECC71
9,Claude code vscode extension is being updated too many times,7,vscode_issues api_error extension_breaks,1,#E91E63
44,"[Bug] Claude fails to analyze codebase before applying fixes, ignores instructions",23,Bug Freeze NotWorking IgnoringInstructio,5,#E74C3C
51,[Bug] Claude Code not following claude.md directives and authorization guidelines,23,Bug Freeze NotWorking IgnoringInstructio,8,#E74C3C
57,[Bug] Session token percentage increases unexpectedly after single request with multi-file modifications,19,TokenUsageIssues BillingIssues TimeoutIs,1,#F1C40F
78,"Claude claims fixes work without testing, ships broken code to user",23,Bug Freeze NotWorking IgnoringInstructio,1,#E74C3C
104,[BUG] ClaudeCode 2.1.105 | Windows 10 Pro 22H2 19045.7058 - claude code fails to launch,23,Bug Freeze NotWorking IgnoringInstructio,7,#E74C3C
128,I need more information to generate a GitHub issue title. Could you please provide the actual bug report or describe the issue you're experiencing with Claude Code?,17,"1 Bug Report Details
2 Feature Request D",8,#795548
133,[BUG] Using the same prompt and model at different times results in higher token consumption during later executions.,14,ExcessiveTokenConsumption PromptCacheIss,2,#2196F3
142,"[BUG] Claude Desktop (Claude Code Desktop) sessions become unresponsive (""Mustering..."" forever) while other sessions work fine",23,Bug Freeze NotWorking IgnoringInstructio,4,#E74C3C
143,[Bug] Token caching causing unexpected consumption and bill increases,19,TokenUsageIssues BillingIssues TimeoutIs,8,#F1C40F
152,[Bug] Excessive token usage on prompt messages (42k tokens for 3 prompts),14,ExcessiveTokenConsumption PromptCacheIss,7,#2196F3
173,"[BUG] Claude Desktop 1.2278.0 crashes on launch - macOS Tahoe 26.4.1 / Apple M5 (Mac17,2)",20,Crash Launch Failure Hang Freeze Error,3,#607D8B
174,"[BUG] Windows: ""unable to find CLAUDE_CODE_GIT_BASH_PATH"" despite Git Bash being installed and accessible",21,GitBash_Issues_Windows,7,#E74C3C
177,[Bug] Rapid token consumption - investigate token usage efficiency,19,TokenUsageIssues BillingIssues TimeoutIs,16,#F1C40F
245,[BUG] Claude Code not responding to anything and send button has disappeared,23,Bug Freeze NotWorking IgnoringInstructio,5,#E74C3C
255,Opus 4.6 1M context window unavailable on Max plan — ongoing regression,3,Opus_46_Issues Context_Limit Token,12,#9B59B6
267,Chrome extension service worker never initiates MCP bridge connection (Linux/AUR),10,Chrome_Connection_Issues,1,#E67E22
287,[Bug] Claude Code performance degradation or unexpected behavior,12,memory_leak kernel_allocation api_error ,16,#2ECC71
289,[BUG] Update Claude 1.2278.0 (e5213f) - cant send prompt from Claude Code,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
310,"Claude Code repeatedly ignores agreed approaches, hacks instead of reading code, and wastes user time on trivial problems",23,Bug Freeze NotWorking IgnoringInstructio,2,#E74C3C
332,[Bug] Severe latency in Claude Code with long-context sessions (20min+ turn times),12,memory_leak kernel_allocation api_error ,2,#2ECC71
343,[Bug] Claude Code experiencing severe performance degradation and intermittent failures,12,memory_leak kernel_allocation api_error ,14,#2ECC71
361,Bug: Claude Code reverts its own working solutions and reports false test results,23,Bug Freeze NotWorking IgnoringInstructio,4,#E74C3C
367,[Bug] Performance degradation: increased token usage and reduced execution speed,19,TokenUsageIssues BillingIssues TimeoutIs,4,#F1C40F
391,[BUG] claude code not responding,23,Bug Freeze NotWorking IgnoringInstructio,42,#E74C3C
438,[Bug] Token usage depletes faster than expected,19,TokenUsageIssues BillingIssues TimeoutIs,9,#F1C40F
448,[Bug] Claude Code process freezing or hanging,23,Bug Freeze NotWorking IgnoringInstructio,31,#E74C3C
461,[BUG] Usage limits gone crazy,13,BUG_USAGE_LIMITS,7,#F06292
470,[Bug] Excessive token consumption with Claude 4.6 Sonnet and Extended Thinking since latest update,6,Model_Issues Token_Consumption Downgrade,2,#FF9800
478,"I'm ready to help generate GitHub issue titles for Claude Code bug reports. Please share the bug report details, and I'll create a concise, technical title following the format specified.",17,"1 Bug Report Details
2 Feature Request D",8,#795548
490,[Bug] Session quota consumed without user action,19,TokenUsageIssues BillingIssues TimeoutIs,1,#F1C40F
513,[Bug] System prompt cache token overhead increased 94% since v2.1.98,14,ExcessiveTokenConsumption PromptCacheIss,3,#2196F3
535,"[Bug] Plan mode ignored, Claude executes without planning phase",23,Bug Freeze NotWorking IgnoringInstructio,6,#E74C3C
540,[Bug] `/usage` command fails with Anthropic API rate limit error,2,AnthropicAPI_RateLimitError,7,#1ABC9C
553,[Bug] Anthropic API Error: HTTP 500 Internal Server Error,4,Anthropic_API_Errors_500,61,#3498DB
554,"[BUG] API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""message"":""Internal server error""},""request_id"":""req_011Ca21xMDEk58VrqVWep6M9""}",15,InternalServerError500,24,#00BCD4
555,API Error 500 (Internal Server Error) during active session,4,Anthropic_API_Errors_500,1,#3498DB
556,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
558,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""message"":""Internal server      error""},""request_id"":""req_011Ca21qBjXfCiNE63NnhNEA""}",15,InternalServerError500,16,#00BCD4
560,[BUG] API Error: 500,15,InternalServerError500,21,#00BCD4
561,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
562,[Bug] Anthropic API Error: Unable to process requests,4,Anthropic_API_Errors_500,56,#3498DB
564,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
567,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
568,[Bug] Anthropic API Error: Internal server error (500),4,Anthropic_API_Errors_500,68,#3498DB
569,[Bug] Anthropic API Error: 500 Internal Server Error,4,Anthropic_API_Errors_500,62,#3498DB
570,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""message"":""Internal server      error""},""request_id"":""req_011Ca21bfeAZagxGHJbp3jmX""}",15,InternalServerError500,16,#00BCD4
571,[BUG] API Error: 500,15,InternalServerError500,21,#00BCD4
573,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""...",15,InternalServerError500,23,#00BCD4
575,getting this in claude code API Error: 500...,15,InternalServerError500,1,#00BCD4
576,"⎿  API Error: 500 {""type"":""error"",""error"":{""type"":""api_error...",15,InternalServerError500,17,#00BCD4
577,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
578,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
580,[Bug] Anthropic API Error: HTTP 500 Internal Server Error,4,Anthropic_API_Errors_500,61,#3498DB
581,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
582,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",...",15,InternalServerError500,23,#00BCD4
583,[Bug] Anthropic API Error: HTTP 500 Internal Server Error,4,Anthropic_API_Errors_500,61,#3498DB
584,I'm getting this error: API Error: 500...,15,InternalServerError500,15,#00BCD4
585,[BUG] API Error: 500,15,InternalServerError500,21,#00BCD4
586,[BUG] API Error 500,15,InternalServerError500,22,#00BCD4
588,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
589,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
592,[BUG] Bug Report: Claude Code API 500 Internal Server Error,15,InternalServerError500,2,#00BCD4
593,API Error: 500,15,InternalServerError500,23,#00BCD4
594,API 500 Internal server error on tool results (repeated),4,Anthropic_API_Errors_500,2,#3498DB
595,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""...",15,InternalServerError500,23,#00BCD4
596,[BUG] Repeated 500 errors,15,InternalServerError500,2,#00BCD4
597,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
598,"⎿  API Error: 500 {""type"":""error"",""error"":{""type"":""api_err...",15,InternalServerError500,17,#00BCD4
599,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
600,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""...",15,InternalServerError500,23,#00BCD4
601,[Bug] Anthropic API Error: Internal Server Error,4,Anthropic_API_Errors_500,63,#3498DB
616,[BUG] Claude code in Mac App freezes with new session.,23,Bug Freeze NotWorking IgnoringInstructio,5,#E74C3C
629,claude code cannot connect to chrome and take any action.,10,Chrome_Connection_Issues,1,#E67E22
646,[BUG] 5h Limit on claude code cli at 100% and on claude code desktop on 3%,12,memory_leak kernel_allocation api_error ,1,#2ECC71
655,[BUG] Claude Code is Shit,23,Bug Freeze NotWorking IgnoringInstructio,11,#E74C3C
657,[BUG] Claude Code does not reply,23,Bug Freeze NotWorking IgnoringInstructio,15,#E74C3C
666,Claude ignores memorized instructions and repeats corrected mistakes,23,Bug Freeze NotWorking IgnoringInstructio,2,#E74C3C
713,Claude repeatedly breaks working code with untested fixes — 20+ failed attempts on same bug,23,Bug Freeze NotWorking IgnoringInstructio,8,#E74C3C
731,[Bug] Claude Code hangs without explanation during complex tasks,23,Bug Freeze NotWorking IgnoringInstructio,27,#E74C3C
752,[Bug] Claude ignores previously generated code and pursues redundant solutions,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
781,Chrome extension not connecting to native host (macOS 26.3),10,Chrome_Connection_Issues,8,#E67E22
799,--chrome flag: MCP client never connects to Chrome native host socket,10,Chrome_Connection_Issues,10,#E67E22
801,[Bug] Claude Code stops executing plan midway without completing all planned tasks,23,Bug Freeze NotWorking IgnoringInstructio,7,#E74C3C
856,[Bug] Claude Code process freezes during execution,23,Bug Freeze NotWorking IgnoringInstructio,18,#E74C3C
861,Claude Code authenticates correctly but still rejects requests with “organization does not have access”,23,Bug Freeze NotWorking IgnoringInstructio,1,#E74C3C
877,[Bug] Rate limit error at 72% token usage,19,TokenUsageIssues BillingIssues TimeoutIs,2,#F1C40F
888,[BUG] Claude Code repeatedly ignores project-level CLAUDE.md rules despite acknowledging them.,23,Bug Freeze NotWorking IgnoringInstructio,5,#E74C3C
892,"I appreciate the feedback, but I need actual bug report details to generate a GitHub issue title. Please provide:

1. **Description of the problem** - What went wrong?
2. **Error message** (if applicable) - What was the exact error?
3. **Steps to reproduce",17,"1 Bug Report Details
2 Feature Request D",5,#795548
907,[Bug] Claude Code executes tools and modifies files without explicit edit acceptance enabled,23,Bug Freeze NotWorking IgnoringInstructio,2,#E74C3C
920,[BUG] Claude code doesn't work in desktop app.,23,Bug Freeze NotWorking IgnoringInstructio,11,#E74C3C
921,[BUG] Claude Code CLI v2.1.104 returning 400 errors,23,Bug Freeze NotWorking IgnoringInstructio,5,#E74C3C
955,[Bug] Claude Code shows uncertainty and fails to resolve errors,23,Bug Freeze NotWorking IgnoringInstructio,15,#E74C3C
976,[Bug] Model Quality Degradation in Claude Code Responses,12,memory_leak kernel_allocation api_error ,3,#2ECC71
996,[MODEL]   Claude ignores permanent instructions,5,IgnoresInstructions,3,#F1C40F
1030,[BUG] Max plan usage at 100% with zero requests — claude.ai (not Claude Code),12,memory_leak kernel_allocation api_error ,4,#2ECC71
1073,[Bug Report] Claude Code failing to complete tasks correctly,23,Bug Freeze NotWorking IgnoringInstructio,34,#E74C3C
1078,Claude in Chrome extension stops connecting spontaneously — MCP shows connected but extension reports not connected,10,Chrome_Connection_Issues,16,#E67E22
1092,"claude-in-chrome: extension connects in Claude Desktop but not terminal CLI — same Chrome, same extension",10,Chrome_Connection_Issues,16,#E67E22
1140,[BUG] Extra usage enabled but Claude Code is fully locked (no input box) after weekly limit,12,memory_leak kernel_allocation api_error ,1,#2ECC71
1171,"[Bug] Excessive token consumption on simple queries (25k tokens for ""what is 1+1"")",19,TokenUsageIssues BillingIssues TimeoutIs,3,#F1C40F
1213,[Bug] Global claude.md instructions not being consistently applied,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
1242,[BUG] Token consumption is off track,19,TokenUsageIssues BillingIssues TimeoutIs,19,#F1C40F
1255,[BUG] [BUG] Claude Desktop fails to launch on Windows - crashes instantly with no logs,20,Crash Launch Failure Hang Freeze Error,4,#607D8B
1273,"claude-in-chrome MCP: 'Browser extension is not connected' despite --chrome flag and remote debugging enabled (macOS, Chrome 147)",10,Chrome_Connection_Issues,23,#E67E22
1336,[Bug] Anthropic API Error: Usage Policy violation on non-policy-violating prompts,4,Anthropic_API_Errors_500,3,#3498DB
1355,claude code use many usage without helpful and doing many things incorrect,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
1357,[BUG]   Claude Code session degradation + inability to debug visual/interactive issues,12,memory_leak kernel_allocation api_error ,1,#2ECC71
1378,[Bug] Degraded code generation quality and pattern recognition across Claude Code versions,12,memory_leak kernel_allocation api_error ,4,#2ECC71
1460,"[BUG] Claude Pro plan not fully recognized, preventing some features from working (like remote-control)",1,RemoteControlIssues,1,#8BC34A
1474,[Bug] Usage spike after rate limit reset with resumed session,19,TokenUsageIssues BillingIssues TimeoutIs,2,#F1C40F
1479,[Bug] Rate limit reset shows incorrect usage percentage immediately after continue,2,AnthropicAPI_RateLimitError,2,#1ABC9C
1487,[Bug] Unexpected high token consumption on simple prompts,14,ExcessiveTokenConsumption PromptCacheIss,9,#2196F3
1535,"[BUG] Claude Code hanging on on thinking for 10+ minutes at 3,4k tokens",23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
1555,[Bug] Excessive token consumption with Sonnet 4.6/Opus 4.6 models,6,Model_Issues Token_Consumption Downgrade,2,#FF9800
1608,[BUG] Incident Report - Unable to use Claude Code inside VSCode for 2 days now,7,vscode_issues api_error extension_breaks,9,#E91E63
1609,Claude doesn't proactively read memory files before acting on known systems,23,Bug Freeze NotWorking IgnoringInstructio,2,#E74C3C
1655,[BUG] Claude Code Exploit: Claude Code Becomes an Unwitting Executor,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
1658,[Bug] Unexpected increase in API token consumption rate,19,TokenUsageIssues BillingIssues TimeoutIs,14,#F1C40F
1678,"This doesn't appear to be a bug report or feature request - it's positive feedback about Claude Code working well. There's no actual issue to create a GitHub title for.

If you'd like to submit feedback, you could do so through Anthropic's official channel",17,"1 Bug Report Details
2 Feature Request D",3,#795548
1691,[BUG] Your account does not have access to Claude Code. Please run /login.,23,Bug Freeze NotWorking IgnoringInstructio,6,#E74C3C
1701,[BUG] Inconsistency in the usage calculation system,13,BUG_USAGE_LIMITS,1,#F06292
1704,"Claude Code CLI connecting to Chrome MCP returns ""not connected"" despite extension showing as connected",10,Chrome_Connection_Issues,16,#E67E22
1732,Opus 4.6 (1M context) produces garbled terminal output and usage policy API error,3,Opus_46_Issues Context_Limit Token,1,#9B59B6
1762,[BUG] Claude Code for VS Code hangs in 2.1.78+,7,vscode_issues api_error extension_breaks,8,#E91E63
1786,[Bug] Claude executes actions prematurely without awaiting user confirmation,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
1803,Chrome extension not connecting to Claude Code CLI,10,Chrome_Connection_Issues,25,#E67E22
1932,"Claude Code ignores its own configured rules (CLAUDE.md, hooks) and deletes/removes without asking",23,Bug Freeze NotWorking IgnoringInstructio,1,#E74C3C
1942,[Bug] Anthropic API Error: Internal Server Error (500),4,Anthropic_API_Errors_500,68,#3498DB
1957,[Bug] Claude in Chrome: CLI MCP client never connects to bridge socket when Desktop is also installed,10,Chrome_Connection_Issues,5,#E67E22
1959,[Bug] Anthropic API Error: Out of extra usage quota despite available balance,2,AnthropicAPI_RateLimitError,11,#1ABC9C
1960,[Bug] Claude Code not falling back to pro subscription after extra usage exhaustion,23,Bug Freeze NotWorking IgnoringInstructio,2,#E74C3C
1970,[Bug] Anthropic API Error: Out of Extra Usage despite available quota on Claude Max plan,2,AnthropicAPI_RateLimitError,2,#1ABC9C
1985,[Bug] Anthropic API Error: Out of extra usage despite available quota balance,2,AnthropicAPI_RateLimitError,11,#1ABC9C
1995,[Bug] Anthropic API Error: Out of extra usage quota,2,AnthropicAPI_RateLimitError,16,#1ABC9C
1997,claude code not connecting to chrome browser,10,Chrome_Connection_Issues,10,#E67E22
2010,[Bug] Claude Code incorrectly routes requests to Extra Usage despite plan allocation remaining,12,memory_leak kernel_allocation api_error ,1,#2ECC71
2011,[Bug] Claude Code incorrectly billing against extra usage instead of plan quota,12,memory_leak kernel_allocation api_error ,2,#2ECC71
2021,[BUG] incorrect API error 400,15,InternalServerError500,10,#00BCD4
2047,"[Bug] API Reports ""Out of Extra Usage"" Despite Extra Usage Disabled",19,TokenUsageIssues BillingIssues TimeoutIs,1,#F1C40F
2059,[Bug] Anthropic API Error: Out of Extra Usage despite disabled extra usage tokens,2,AnthropicAPI_RateLimitError,5,#1ABC9C
2082,[Bug] Anthropic API Error: Request timeout on long-running tasks,9,Anthropic_API_Overload,1,#FF5722
2085,[Bug] Anthropic API Error: Overloaded (529),9,Anthropic_API_Overload,32,#FF5722
2086,[Bug] Anthropic API Error: Unspecified,4,Anthropic_API_Errors_500,74,#3498DB
2089,[BUG] official VS Code extension does not work due to API error,7,vscode_issues api_error extension_breaks,1,#E91E63
2094,[Bug] Anthropic API Error: Overloaded,9,Anthropic_API_Overload,32,#FF5722
2101,[Bug] Token consumption rate increases after 2x event,19,TokenUsageIssues BillingIssues TimeoutIs,1,#F1C40F
2112,Claude Code quality degraded significantly in recent 3 days,12,memory_leak kernel_allocation api_error ,8,#2ECC71
2137,[BUG]  - I can't use claude code anyway on my VSCode extension or CLI,7,vscode_issues api_error extension_breaks,17,#E91E63
2173,[BUG] ridiculous consumption rate in Max plan since March,11,rate_limit_issues usage_limits max_plan_,1,#FF5252
2178,"[BUG]  Claude Code ""No Response Requested"" Loop",23,Bug Freeze NotWorking IgnoringInstructio,6,#E74C3C
2179,[Bug] Excessive token consumption and quality degradation in recent builds,19,TokenUsageIssues BillingIssues TimeoutIs,3,#F1C40F
2180,"[Bug] Prompt cache not being utilized, causing excessive token consumption on simple requests",14,ExcessiveTokenConsumption PromptCacheIss,7,#2196F3
2236,[Bug] Claude ignores memory files and repeats errors across conversations,23,Bug Freeze NotWorking IgnoringInstructio,1,#E74C3C
2249,[BUG] Claude Code Won't Authenticate,23,Bug Freeze NotWorking IgnoringInstructio,13,#E74C3C
2260,[Bug] Anthropic API Error: Disproportionate Token Usage on Single Request,2,AnthropicAPI_RateLimitError,3,#1ABC9C
2263,[Bug] Excessive token consumption on initial commands - disproportionate to actual work performed,19,TokenUsageIssues BillingIssues TimeoutIs,2,#F1C40F
2270,[Bug] Claude Code not following skill instructions,23,Bug Freeze NotWorking IgnoringInstructio,10,#E74C3C
2275,[Bug] Session token limit exceeded at 84% usage,19,TokenUsageIssues BillingIssues TimeoutIs,6,#F1C40F
2293,[Bug] Claude Code CLI fails to initialize or execute commands,23,Bug Freeze NotWorking IgnoringInstructio,4,#E74C3C
2298,[Bug] Excessive token consumption in long-running sessions,19,TokenUsageIssues BillingIssues TimeoutIs,18,#F1C40F
2302,Chrome extension not connecting to native messaging host (macOS),10,Chrome_Connection_Issues,5,#E67E22
2384,[Bug] Regression: Claude Opus context window downgraded from 1M to 200K on Max plan,3,Opus_46_Issues Context_Limit Token,4,#9B59B6
2385,[BUG] Claude code quality (Opus 4.6) has degraded,12,memory_leak kernel_allocation api_error ,3,#2ECC71
2387,[BUG] Issues loggin in and reporting bugs on claude code CLI,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
2392,[BUG] Server outage caused immediate and total lockout of Claude Code in VS Code,7,vscode_issues api_error extension_breaks,1,#E91E63
2431,[Bug] Claude Code ignores explicit plan instructions and fabricates output instead of reading source files,23,Bug Freeze NotWorking IgnoringInstructio,3,#E74C3C
2434,[Bug] Anthropic API Error: Persistent 429 Rate Limit Responses Consuming Credits,2,AnthropicAPI_RateLimitError,3,#1ABC9C
2458,[BUG] Claude Code v2.1.92 - OAuth token always expired after login,8,auth-timeout oauth-expiry login-fail,8,#9C27B0
2463,[BUG] Claude Code login fails with OAuth timeout on Windows,8,auth-timeout oauth-expiry login-fail,4,#9C27B0
2467,[Bug] Session limit consumption rate increased unexpectedly,19,TokenUsageIssues BillingIssues TimeoutIs,5,#F1C40F
2480,[Bug] Token usage limits exhausted prematurely in 5-hour sessions,19,TokenUsageIssues BillingIssues TimeoutIs,8,#F1C40F
2571,[Bug] Excessive token consumption in Claude Code sessions,12,memory_leak kernel_allocation api_error ,6,#2ECC71
2578,"[BUG] Windows 11 ARM64: CLAUDE_CODE_GIT_BASH_PATH not recognized with ARM64 Git for Windows, space-free path",21,GitBash_Issues_Windows,1,#E74C3C
2584,[Bug] Unexpected high API usage consumption within 30 minutes,19,TokenUsageIssues BillingIssues TimeoutIs,5,#F1C40F
2587,Claude Code Performance Degraded,12,memory_leak kernel_allocation api_error ,11,#2ECC71
2599,"[BUG] Claude in Chrome v1.0.66 — not connected in Cowork mode despite native host running (macOS, April 2026)",10,Chrome_Connection_Issues,5,#E67E22
2624,"Max x20 plan blocked from using Opus 4.6 with 1M context - ""Extra usage is required""",3,Opus_46_Issues Context_Limit Token,5,#9B59B6
2673,[BUG] Intermittent Freezes Claude Code 2.1.92,23,Bug Freeze NotWorking IgnoringInstructio,14,#E74C3C
2721,[Bug] Unexpected high token consumption with previously efficient patterns,19,TokenUsageIssues BillingIssues TimeoutIs,11,#F1C40F
2734,[Bug] Rapid token usage spikes with Opus model in Claude Code sessions,3,Opus_46_Issues Context_Limit Token,1,#9B59B6
2769,[Bug] Excessive token consumption for simple requests,19,TokenUsageIssues BillingIssues TimeoutIs,18,#F1C40F
2772,[Bug] Tokens consumed without generating output or response,19,TokenUsageIssues BillingIssues TimeoutIs,2,#F1C40F
2798,[BUG] Usage doesn't work in a long Claude Code session,23,Bug Freeze NotWorking IgnoringInstructio,9,#E74C3C
2803,[BUG] Used all tokens in session limit without receiving a SINGLE token as a response,19,TokenUsageIssues BillingIssues TimeoutIs,2,#F1C40F
2818,[Bug] Excessive token consumption on Claude 3.5 Sonnet model,6,Model_Issues Token_Consumption Downgrade,3,#FF9800
2839,[BUG] 🤖 Generated with [Claude Code](https://claude.com/claude-code),17,"1 Bug Report Details
2 Feature Request D",1,#795548
2866,[BUG] No way to unarchive a Code session in Claude Code Desktop (Windows),0,BUG Feature Request Remote Access Multi-,1,#E67E22
2882,[Bug] Anthropic API Error: 400 Bad Request,4,Anthropic_API_Errors_500,65,#3498DB
2887,[BUG] API Error 400,15,InternalServerError500,10,#00BCD4
2908,[Bug] Rate limiting on Max plan triggered unexpectedly with high usage in short session,11,rate_limit_issues usage_limits max_plan_,7,#FF5252
2922,[Bug] Anthropic API Error: Internal server error (500),4,Anthropic_API_Errors_500,68,#3498DB
2933,VS Code extension crashes on activation when claudeCode.environmentVariables is a plain object,7,vscode_issues api_error extension_breaks,4,#E91E63
2935,Claude Code makes edits during plan mode before user approves the plan,23,Bug Freeze NotWorking IgnoringInstructio,2,#E74C3C
2936,[Bug] Claude Code tab unresponsive after reinstall,23,Bug Freeze NotWorking IgnoringInstructio,5,#E74C3C
2991,[Bug] Token consumption,19,TokenUsageIssues BillingIssues TimeoutIs,18,#F1C40F
2997,[Bug] Excessive token consumption causing rapid API quota depletion,19,TokenUsageIssues BillingIssues TimeoutIs,11,#F1C40F
3000,[Bug] Rapid token consumption issue,19,TokenUsageIssues BillingIssues TimeoutIs,29,#F1C40F
3007,Opus 4.6 1M context window stuck at 200K despite active Max subscription (tengu_hawthorn_window: 200000),3,Opus_46_Issues Context_Limit Token,5,#9B59B6
3015,[Bug] API response quality degradation and rate limiting issues,19,TokenUsageIssues BillingIssues TimeoutIs,1,#F1C40F
3022,[Bug] Excessive context consumption on initial Opus startup (5% of pro plan limit),3,Opus_46_Issues Context_Limit Token,4,#9B59B6
